"","participant","X.2","X.1","X","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","Condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route","correct_absolute_error_other","condition_all","exp","Video_Game_Play","know_how_use","experienced","easy_use","compass_use"
"52",2066,108,108,52,49.3402917965453,10.44208723802,32.6696327000345,0.568675814147632,15.1088592715239,0.0289282722923041,15.9371346682624,0.444694835752553,40.8900410001166,"Mountains","Golledge Hall","No","male","Batty",15.1088592715239,15.9371346682624,40.8900410001166,"C2",62.4830325,"Mountains","Exp2","Yes",65,35,25,41.6666666666667
"53",2067,109,109,53,24.8917464309999,6.57759006704941,17.0428222750211,0.921906075362568,-1.32033804911513,0.899755024533031,-24.4072672415836,0.967626545410853,14.8106087021255,"Compass","Sauer Center","No","male","Batty",-1.32033804911513,-24.4072672415836,14.8106087021255,"C2",23.96836375,"Compass","Exp2","Yes",100,20,60,60
"54",2068,110,110,54,15.4650424433307,4.51870901535442,10.7737566884837,0.973022374362557,-28.6663700290232,0.96938160119015,-36.8125579780053,0.94088624832527,-24.4157574671172,"Mountains","Batty House","No","male","Batty",-28.6663700290232,-36.8125579780053,-24.4157574671172,"C2",22.15737875,"Mountains","Exp2","Yes",100,75,75,83.3333333333333
"55",2069,111,111,55,41.1072063403577,7.52074314080688,26.7130078262645,0.588980063491784,246.877920128709,0.39339031423986,262.766934157543,0.956077159142299,-22.6412722610284,"Compass","Tobler Museum","No","male","Batty",246.877920128709,262.766934157543,-22.6412722610284,"C1",19.308365,"Compass","Exp2","Yes",80,55,45,60
"56",2070,112,112,56,53.9737812314855,38.9162984156339,47.5205743104062,0.396554207198939,70.5513430959998,0.941510240664094,60.4332717195029,0.746061752909039,181.071709271304,"Mountains","Lynch Station","No","male","Batty",70.5513430959998,60.4332717195029,181.071709271304,"C1",97.651271875,"Mountains","Exp2","No",50,30,0,26.6666666666667
"57",2072,113,113,57,26.4150812528288,7.2313909184626,18.1934996809576,0.958916884479065,-28.4344329435161,0.977396645046482,-35.569512070985,0.876813681321282,-8.03349795075884,"Mountains","Batty House","No","male","Golledge",-28.4344329435161,-35.569512070985,-8.03349795075884,"C2",106.872597125,"Mountains","Exp2","Yes",60,30,40,43.3333333333333
"58",2073,114,114,58,74.2102042815399,50.6445454716192,64.1106362201453,0.0455624850937957,132.447205622678,0.769746349127451,-11.5155958364405,0.91336442786804,243.414572987392,"Compass","Batty House","No","male","Batty",132.447205622678,-11.5155958364405,243.414572987392,"C2",122.832188,"Compass","Exp2","No",60,36,40,45.3333333333333
"59",2074,115,115,59,30.1736859763124,7.1945315254241,20.3254769259317,0.798108361949325,137.737759133333,0.88896620133067,145.511495560179,0.77634683687689,176.65667898137,"Mountains","Golledge Hall","No","male","Golledge",137.737759133333,145.511495560179,176.65667898137,"C1",39.454103,"Mountains","Exp2","Yes",80,10,25,38.3333333333333
"60",2075,116,116,60,34.2302229561382,9.42261154777077,23.5983894954093,0.913735648931147,-33.7736398868234,0.977391073368573,-37.9975031974888,0.827423458292259,-5.69812732760067,"Compass","Batty House","No","male","Batty",-33.7736398868234,-37.9975031974888,-5.69812732760067,"C1",29.39364125,"Compass","Exp2","No",85,65,60,70
"61",2076,117,117,61,44.6337074638627,32.0601956540975,39.2450595453919,0.277767265005112,-16.6962675002548,0.359273479735366,-3.60352029789697,0.541888146123564,224.52968235015,"Mountains","Batty House","No","male","Batty",-16.6962675002548,-3.60352029789697,224.52968235015,"C2",67.66027875,"Mountains","Exp2","No",86,61,61,69.3333333333333
"62",2077,118,118,62,29.7003876555823,5.99515599735361,19.5410026591986,0.912716202857647,149.412497591556,0.852494058107281,142.134359948641,0.693041005238118,174.7860827174,"Compass","Lynch Station","No","male","Golledge",149.412497591556,142.134359948641,174.7860827174,"C2",24.26470375,"Compass","Exp2","No",70,60,40,56.6666666666667
"63",2078,119,119,63,31.6408156450494,9.79837418212715,22.279769303797,0.748188490970424,47.6262977748032,0.961463926959994,59.7560608651409,0.973308023446958,115.965439809229,"Mountains","Golledge Hall","No","male","Golledge",47.6262977748032,59.7560608651409,115.965439809229,"C2",36.167735,"Mountains","Exp2","No",70,40,30,46.6666666666667
"64",2079,120,120,64,32.8898285773961,6.47050263750905,21.5672603174445,0.893429847678339,142.45110237129,0.887554637781445,143.576591197456,0.789179916128324,177.172273241246,"Compass","Golledge Hall","No","male","Golledge",142.45110237129,143.576591197456,177.172273241246,"C2",20.9383675,"Compass","Exp2","No",74,59,62,65
"65",2080,121,121,65,42.0481861118287,6.67404575753546,26.887840245703,0.780758374843894,-17.4172220749716,0.97000325435727,-36.5272802695728,0.967834475829969,22.9540526501695,"Compass","Batty House","No","male","Golledge",-17.4172220749716,-36.5272802695728,22.9540526501695,"C2",21.1121875,"Compass","Exp2","Yes",90,20,15,41.6666666666667
"66",2083,122,122,66,17.6127537199927,4.12472841637066,11.8321714470118,0.905045804501864,54.8606705445669,0.776893620902413,52.1222302897545,0.855466230547096,84.7996387357758,"Mountains","Batty House","No","male","Batty",54.8606705445669,52.1222302897545,84.7996387357758,"C2",52.23365125,"Mountains","Exp2","Yes",90,30,50,56.6666666666667
"67",2084,123,123,67,15.452755802652,4.46301951107422,10.7428688205472,NA,NA,NA,NA,NA,NA,"Mountains","Sauer Center","No","male","Golledge",NA,NA,NA,"C2",19.32344625,"Mountains","Exp2","Yes",17,0,0,5.66666666666667
