"","start_landmark","participant","target_landmark","point_order","participant_response","within_between","participant_360_response","actual_direction","actual_360_direction","mountain_0_p_angle0","error","mountain_0_p_angle360"
"188","Harris Hall",2036,"Compass North",17,143.5288,"other",143.5288,46,46,97.5288,97.5288,97.5288
"189","Harris Hall",2034,"Mountain Range",23,131.9059,"other",131.9059,46,46,85.9059,85.9059,85.9059
"190","Harris Hall",2073,"Compass North",16,-41.52814,"other",318.47186,46,46,272.47186,87.52814,272.47186
"191","Harris Hall",2059,"Compass North",17,57.29997,"other",57.29997,46,46,11.29997,11.29997,11.29997
"192","Harris Hall",2062,"Mountain Range",19,-51.96917,"other",308.03083,46,46,262.03083,97.96917,262.03083
"193","Harris Hall",2057,"Compass North",22,47.6456,"other",47.6456,46,46,1.6456,1.6456,1.6456
"194","Harris Hall",2052,"Mountain Range",22,145.4561,"other",145.4561,46,46,99.4561,99.4561,99.4561
"195","Harris Hall",2064,"Mountain Range",17,-98.89587,"other",261.10413,46,46,215.10413,144.89587,215.10413
"196","Harris Hall",2054,"Mountain Range",22,140.673,"other",140.673,46,46,94.673,94.673,94.673
"197","Harris Hall",2038,"Mountain Range",18,35.07659,"other",35.07659,46,46,-10.92341,10.92341,349.07659
"198","Harris Hall",2080,"Compass North",18,53.55888,"other",53.55888,46,46,7.55888,7.55888,7.55888
"199","Harris Hall",2077,"Compass North",20,51.19682,"other",51.19682,46,46,5.19682,5.19682,5.19682
"200","Harris Hall",2065,"Compass North",22,-101.9077,"other",258.0923,46,46,212.0923,147.9077,212.0923
"201","Harris Hall",2060,"Mountain Range",17,58.84931,"other",58.84931,46,46,12.84931,12.84931,12.84931
"202","Harris Hall",2056,"Mountain Range",19,-142.6979,"other",217.3021,46,46,171.3021,171.3021,171.3021
"203","Harris Hall",2047,"Compass North",23,-19.97434,"other",340.02566,46,46,294.02566,65.97434,294.02566
"204","Harris Hall",2072,"Mountain Range",22,-93.18796,"other",266.81204,46,46,220.81204,139.18796,220.81204
"205","Harris Hall",2041,"Compass North",21,52.04102,"other",52.04102,46,46,6.04102,6.04102,6.04102
"206","Harris Hall",2075,"Compass North",19,39.71669,"other",39.71669,46,46,-6.28331,6.28331,353.71669
"207","Harris Hall",2078,"Mountain Range",21,13.5478,"other",13.5478,46,46,-32.4522,32.4522,327.5478
"208","Harris Hall",2051,"Compass North",21,-142.9734,"other",217.0266,46,46,171.0266,171.0266,171.0266
"209","Harris Hall",2079,"Compass North",22,66.07702,"other",66.07702,46,46,20.07702,20.07702,20.07702
"210","Harris Hall",2058,"Mountain Range",22,-121.9594,"other",238.0406,46,46,192.0406,167.9594,192.0406
"211","Harris Hall",2045,"Compass North",21,94.96732,"other",94.96732,46,46,48.96732,48.96732,48.96732
"212","Harris Hall",2042,"Mountain Range",23,-16.03831,"other",343.96169,46,46,297.96169,62.03831,297.96169
"213","Harris Hall",2035,"Mountain Range",23,-99.29493,"other",260.70507,46,46,214.70507,145.29493,214.70507
"214","Harris Hall",2074,"Mountain Range",19,4.069626,"other",4.069626,46,46,-41.930374,41.930374,318.069626
"215","Harris Hall",2076,"Mountain Range",19,-12.6937,"other",347.3063,46,46,301.3063,58.6937,301.3063
"216","Harris Hall",2063,"Compass North",21,49.0345,"other",49.0345,46,46,3.0345,3.0345,3.0345
"217","Harris Hall",2048,"Mountain Range",20,77.90829,"other",77.90829,46,46,31.90829,31.90829,31.90829
"218","Harris Hall",2053,"Compass North",19,137.8524,"other",137.8524,46,46,91.8524,91.8524,91.8524
"219","Harris Hall",2046,"Compass North",19,139.4858,"other",139.4858,46,46,93.4858,93.4858,93.4858
"220","Harris Hall",2044,"Mountain Range",17,-96.71011,"other",263.28989,46,46,217.28989,142.71011,217.28989
"221","Harris Hall",2070,"Mountain Range",17,-19.12214,"other",340.87786,46,46,294.87786,65.12214,294.87786
"222","Harris Hall",2050,"Mountain Range",20,135.1073,"other",135.1073,46,46,89.1073,89.1073,89.1073
"223","Harris Hall",2084,"Mountain Range",17,64.53291,"other",64.53291,46,46,18.53291,18.53291,18.53291
"224","Harris Hall",2068,"Mountain Range",16,57.94269,"other",57.94269,46,46,11.94269,11.94269,11.94269
"225","Harris Hall",2069,"Compass North",20,51.83775,"other",51.83775,46,46,5.83775,5.83775,5.83775
"226","Harris Hall",2043,"Compass North",20,140.2278,"other",140.2278,46,46,94.2278,94.2278,94.2278
"227","Harris Hall",2066,"Mountain Range",19,65.46841,"other",65.46841,46,46,19.46841,19.46841,19.46841
"228","Harris Hall",2083,"Mountain Range",22,15.19101,"other",15.19101,46,46,-30.80899,30.80899,329.19101
"229","Harvey House",2011,"Compass North",30,-27.64651,"other",332.35349,-133.5,226.5,105.85349,105.85349,105.85349
"230","Harvey House",2005,"Mountain Range",30,-124.9122,"other",235.0878,-133.5,226.5,8.58780000000002,8.58780000000002,8.58780000000002
"231","Harvey House",2017,"Compass North",29,-129.9296,"other",230.0704,-133.5,226.5,3.57040000000001,3.57040000000001,3.57040000000001
"232","Harvey House",2003,"Mountain Range",28,27.02561,"other",27.02561,-133.5,226.5,-199.47439,160.52561,160.52561
"233","Harvey House",2002,"Mountain Range",24,-178.6922,"other",181.3078,-133.5,226.5,-45.1922,45.1922,314.8078
